,>35,EdLevel,Employment,MainBranch,YearsCode,YearsCodePro,Country,PreviousSalary,ComputerSkills,Employed,Gender_Man,Gender_NonBinary,Gender_Woman
0,1,3,1,1,7,4,Sweden,51552.0,4,0,1,0,0
1,1,2,1,1,12,5,Spain,46482.0,12,1,1,0,0
2,1,3,1,1,15,6,Germany,77290.0,7,0,1,0,0
3,1,2,1,1,9,6,Canada,46135.0,13,0,1,0,0
4,0,4,0,0,40,30,Singapore,160932.0,2,0,1,0,0
5,1,3,1,1,9,2,France,38915.0,5,0,1,0,0
6,0,3,1,1,26,18,Germany,77831.0,17,1,1,0,0
7,1,3,1,0,14,5,Switzerland,81319.0,4,0,1,0,0
8,0,2,1,1,39,21,United Kingdom of Great Britain and Northern Ireland,68507.0,3,0,1,0,0
9,0,3,1,1,20,16,Russian Federation,37752.0,6,0,1,0,0
10,1,2,1,1,4,2,Israel,122580.0,18,1,1,0,0
11,1,2,1,1,6,2,Turkey,11832.0,13,1,1,0,0
12,1,3,1,1,19,10,Germany,60535.0,5,0,1,0,0
13,1,2,1,1,8,0,United States of America,103000.0,7,0,1,0,0
14,1,3,1,0,6,3,France,25944.0,5,0,1,0,0
15,0,2,1,1,22,15,Brazil,60480.0,16,1,1,0,0
16,1,1,1,1,7,1,Bulgaria,20556.0,5,0,1,0,0
17,1,2,1,1,12,6,Greece,25944.0,25,1,1,0,0
18,0,3,1,1,34,12,United Kingdom of Great Britain and Northern Ireland,64630.0,14,1,1,0,0
19,0,3,1,1,21,16,Italy,54049.0,17,1,1,0,0
20,1,1,1,0,5,3,Russian Federation,22644.0,12,0,1,0,0
21,0,1,1,1,25,10,Canada,71850.0,6,0,1,0,0
22,0,3,1,1,20,10,Spain,58373.0,7,1,1,0,0
23,0,2,1,1,24,18,United Kingdom of Great Britain and Northern Ireland,129266.0,12,0,1,0,0
24,1,3,1,0,10,2,Netherlands,25944.0,7,0,1,0,0
25,0,2,1,1,25,15,United States of America,105000.0,6,0,1,0,0
26,1,2,1,0,12,8,Poland,45564.0,39,1,1,0,0
27,0,4,1,1,10,8,Canada,151263.0,8,0,1,0,0
28,0,2,1,0,10,3,Sweden,40500.0,8,0,1,0,0
29,1,2,0,1,12,7,Switzerland,43908.0,24,1,1,0,0
30,1,3,1,1,25,6,Hungary,42336.0,21,1,1,0,0
31,0,1,1,1,31,17,Canada,95295.0,10,1,1,0,0
32,1,4,1,1,18,1,United States of America,100000.0,8,0,1,0,0
33,0,2,1,1,26,14,United Kingdom of Great Britain and Northern Ireland,61398.0,10,1,1,0,0
34,1,0,1,0,20,10,Netherlands,108098.0,17,1,1,0,0
35,1,2,1,1,10,4,Poland,27336.0,21,1,1,0,0
36,1,3,1,1,10,7,Sweden,5216.0,4,0,1,0,0
37,1,3,0,1,8,3,France,151337.0,11,0,1,0,0
38,1,1,0,1,18,8,Germany,24648.0,18,1,1,0,0
39,1,2,1,1,4,1,Pakistan,7788.0,5,0,1,0,0
40,0,3,1,1,38,26,Switzerland,134176.0,14,1,1,0,0
41,1,2,1,1,10,3,United Kingdom of Great Britain and Northern Ireland,64630.0,8,1,1,0,0
42,1,2,1,1,10,8,Spain,38915.0,13,1,1,0,0
43,1,2,1,1,8,3,Nigeria,4944.0,11,0,1,0,0
44,1,1,0,1,6,1,Germany,29508.0,33,1,1,0,0
45,1,3,1,1,13,2,Italy,14268.0,17,1,1,0,0
46,1,2,1,1,10,2,Netherlands,43239.0,17,1,1,0,0
47,1,0,1,1,3,0,Albania,48.0,8,0,1,0,0
48,1,2,1,1,12,6,United States of America,140000.0,14,1,1,0,0
49,1,1,1,1,6,4,Bangladesh,14124.0,26,1,1,0,0
50,0,1,1,0,6,5,Israel,101916.0,7,0,1,0,0
51,1,3,0,1,17,8,Viet Nam,21000.0,7,0,1,0,0
52,1,2,1,1,7,1,United States of America,54000.0,10,1,1,0,0
53,0,3,0,1,27,16,United States of America,200000.0,19,1,1,0,0
54,1,2,1,1,17,5,Netherlands,36324.0,23,1,1,0,0
55,1,2,1,1,1,3,United Kingdom of Great Britain and Northern Ireland,38778.0,20,1,1,0,0
56,1,1,0,1,5,3,Poland,48600.0,28,1,1,0,0
57,0,3,0,1,30,25,Netherlands,59454.0,10,1,1,0,0
58,1,2,1,1,4,2,Romania,14652.0,8,0,0,0,1
59,0,2,1,1,38,34,United States of America,200000.0,5,0,1,0,0
60,1,3,1,1,27,11,Germany,97288.0,22,1,1,0,0
61,1,1,1,1,15,5,Russian Federation,75492.0,6,0,0,0,1
62,1,3,0,0,2,2,Sri Lanka,36000.0,5,0,1,0,0
63,1,3,1,1,7,5,France,49725.0,12,1,1,0,0
64,0,2,1,1,31,25,United Kingdom of Great Britain and Northern Ireland,70047.0,11,1,1,0,0
65,1,2,1,0,15,4,United States of America,98500.0,23,1,1,0,0
66,1,2,0,1,20,7,India,2340.0,19,1,1,0,0
67,0,2,1,1,41,24,United States of America,115000.0,11,0,1,0,0
68,1,3,1,0,9,6,Switzerland,43908.0,13,1,1,0,0
69,1,2,1,1,8,7,Lithuania,103408.0,15,1,1,0,0
70,1,3,1,1,13,8,Ukraine,42000.0,18,1,1,0,0
71,1,2,1,0,7,4,Israel,105072.0,2,0,1,0,0
72,0,4,1,1,42,22,United Kingdom of Great Britain and Northern Ireland,71093.0,1,0,1,0,0
73,0,2,1,1,8,4,Croatia,17412.0,6,0,1,0,0
74,1,1,0,1,4,2,Georgia,14844.0,9,0,1,0,0
75,0,3,1,0,3,3,Canada,98321.0,5,0,1,0,0
76,0,1,1,1,16,14,Italy,54049.0,17,1,1,0,0
77,0,3,0,1,26,24,Denmark,115784.0,15,1,1,0,0
78,1,2,1,1,10,6,Russian Federation,56616.0,11,0,1,0,0
79,1,2,1,1,14,11,Ireland,69183.0,7,0,1,0,0
80,0,2,1,1,24,18,Greece,25944.0,12,1,1,0,0
81,0,1,1,1,35,25,United Kingdom of Great Britain and Northern Ireland,60752.0,4,0,1,0,0
82,0,2,1,1,6,3,Poland,16704.0,22,0,1,0,0
83,0,2,1,1,23,15,Romania,81420.0,18,0,1,0,0
84,1,2,1,1,7,3,Lebanon,14280.0,5,0,1,0,0
85,0,3,1,1,20,13,United Kingdom of Great Britain and Northern Ireland,84019.0,15,1,1,0,0
86,0,2,1,1,20,18,Bahrain,63648.0,20,1,1,0,0
87,1,2,1,1,5,1,Egypt,4620.0,17,1,1,0,0
88,1,3,1,1,10,9,United States of America,70000.0,15,0,1,0,0
89,1,1,1,1,12,7,Ireland,91883.0,20,0,1,0,0
90,1,3,1,1,3,2,Russian Federation,30192.0,7,0,1,0,0
91,1,2,1,1,10,5,United States of America,90000.0,12,1,1,0,0
92,0,2,1,1,20,20,Colombia,21600.0,20,1,1,0,0
93,1,2,1,1,15,6,Netherlands,50592.0,9,1,1,0,0
94,1,2,1,1,10,1,India,1512.0,32,1,1,0,0
95,1,3,1,0,9,2,United States of America,193000.0,5,0,0,0,1
96,1,2,1,1,9,4,Greece,28536.0,14,0,1,0,0
97,0,3,1,0,4,2,Australia,96874.0,14,0,1,0,0
98,0,2,1,1,24,14,United Kingdom of Great Britain and Northern Ireland,77556.0,15,1,1,0,0
99,0,2,0,1,21,14,United Kingdom of Great Britain and Northern Ireland,103408.0,19,1,1,0,0
100,0,2,1,1,28,22,Switzerland,121979.0,7,0,1,0,0
101,1,4,1,1,15,9,Russian Federation,75492.0,14,0,1,0,0
102,1,2,0,1,10,8,Germany,84316.0,29,1,1,0,0
103,0,2,1,1,31,26,Russian Federation,43404.0,16,0,1,0,0
104,1,2,1,1,6,2,Chile,22584.0,14,1,1,0,0
105,1,2,1,1,14,7,United Kingdom of Great Britain and Northern Ireland,103408.0,4,0,1,0,0
106,1,3,1,1,15,5,France,44320.0,20,1,1,0,0
107,0,2,1,1,30,22,United States of America,165000.0,29,1,1,0,0
108,1,2,1,1,13,3,Indonesia,5268.0,13,1,1,0,0
109,1,1,1,1,10,5,Germany,51888.0,14,0,1,0,0
110,1,2,1,1,12,7,"Iran, Islamic Republic of...",85500.0,16,0,1,0,0
111,1,2,0,1,7,7,Bangladesh,48000.0,12,1,1,0,0
112,1,3,1,1,12,9,France,64859.0,6,0,1,0,0
113,1,2,1,1,6,3,Germany,42158.0,11,0,1,0,0
114,1,2,1,1,18,7,Germany,32424.0,2,0,0,1,0
115,1,2,1,0,2,2,United States of America,60000.0,12,1,1,0,0
116,1,3,0,1,5,5,Netherlands,51888.0,7,0,1,0,0
117,0,4,1,0,16,12,France,35028.0,1,0,1,0,0
118,1,1,1,0,9,3,Portugal,9084.0,10,1,1,0,0
119,0,4,1,1,13,8,Germany,74588.0,3,0,1,0,0
120,1,2,1,1,6,4,Slovakia,33732.0,11,0,1,0,0
121,1,3,1,1,13,8,Bulgaria,27852.0,12,1,1,0,0
122,1,2,1,1,12,3,United Kingdom of Great Britain and Northern Ireland,50153.0,11,0,1,0,0
123,1,3,1,1,15,11,India,30716.0,13,1,1,0,0
124,1,3,1,1,10,7,France,77831.0,25,1,1,0,0
125,1,2,1,1,7,3,Denmark,81624.0,13,1,0,0,1
126,1,3,1,0,6,2,Germany,54049.0,5,0,1,0,0
127,1,2,1,1,10,2,Armenia,10450.0,18,1,1,0,0
128,1,3,1,1,7,7,France,41077.0,15,1,1,0,0
129,1,2,1,1,10,3,Finland,45396.0,8,0,1,0,0
130,1,1,1,1,4,2,United Kingdom of Great Britain and Northern Ireland,19389.0,10,1,1,0,0
131,0,3,1,1,24,15,France,77831.0,8,0,1,0,0
132,0,2,1,1,18,13,United States of America,160000.0,6,0,1,0,0
133,1,2,1,1,12,8,Israel,200409.0,9,0,1,0,0
134,0,2,0,1,37,31,United States of America,185000.0,17,1,1,0,0
135,1,2,1,0,20,9,United States of America,107972.0,7,0,1,0,0
136,1,2,1,1,9,7,Hong Kong (S.A.R.),66897.0,21,1,1,0,0
137,0,1,1,1,5,0,Argentina,75000.0,17,1,1,0,0
138,1,1,1,1,8,6,United Kingdom of Great Britain and Northern Ireland,48472.0,12,0,1,0,0
139,0,2,1,1,24,16,United States of America,120000.0,13,1,1,0,0
140,1,1,1,1,12,12,Brazil,8796.0,10,0,1,0,0
141,1,3,1,1,10,10,Spain,12972.0,32,1,0,0,1
142,1,1,0,1,5,3,"Iran, Islamic Republic of...",4272.0,17,1,1,0,0
143,1,2,1,1,9,4,Spain,28105.0,10,0,1,0,0
144,0,1,1,1,30,20,Finland,77832.0,10,0,1,0,0
145,1,4,1,0,10,4,United Kingdom of Great Britain and Northern Ireland,51704.0,5,0,1,0,0
146,0,2,1,0,23,23,Costa Rica,18000.0,9,0,1,0,0
147,0,1,0,1,20,15,Netherlands,43239.0,17,1,1,0,0
148,1,2,1,1,6,1,Egypt,9231.0,6,0,1,0,0
149,0,2,1,1,25,15,Germany,70264.0,10,1,1,0,0
150,1,2,1,1,5,2,Egypt,5388.0,18,1,1,0,0
151,1,3,1,1,22,13,United States of America,115000.0,10,1,1,0,0
152,1,2,1,1,21,12,United States of America,144000.0,22,1,0,0,1
153,1,3,1,1,14,4,Ireland,65508.0,6,0,1,0,0
154,0,3,1,1,31,21,Germany,70264.0,5,0,1,0,0
155,0,2,1,1,44,34,Canada,181515.0,7,0,1,0,0
156,0,2,1,1,40,26,Sweden,81000.0,13,0,1,0,0
157,0,0,1,1,22,22,United States of America,105000.0,6,0,1,0,0
158,0,3,1,1,20,5,Germany,56211.0,13,1,1,0,0
159,1,3,1,0,10,7,United Kingdom of Great Britain and Northern Ireland,64630.0,7,1,1,0,0
160,1,3,1,1,14,10,United States of America,110000.0,6,0,1,0,0
161,1,2,0,1,14,7,Romania,64860.0,10,0,1,0,0
162,0,2,1,1,25,15,United States of America,120000.0,21,1,1,0,0
163,1,2,1,1,7,0,Bangladesh,6360.0,10,0,1,0,0
164,1,0,1,1,11,6,Germany,48644.0,20,1,1,0,0
165,1,3,1,1,17,11,Poland,54672.0,14,0,1,0,0
166,1,2,1,1,6,4,Netherlands,35676.0,15,1,1,0,0
167,1,2,1,1,18,4,Canada,75631.0,3,0,1,0,0
168,0,1,1,0,41,39,United States of America,70000.0,6,0,1,0,0
169,1,3,1,0,14,9,Germany,58373.0,9,0,1,0,0
170,1,2,1,1,4,3,Greece,25944.0,15,0,1,0,0
171,1,2,1,1,4,2,India,5585.0,13,0,1,0,0
172,1,1,1,1,15,4,United States of America,58000.0,8,0,0,0,1
173,1,2,1,1,18,6,Germany,61616.0,15,0,1,0,0
174,0,4,1,0,20,13,France,59454.0,6,0,1,0,0
175,1,4,1,0,15,3,Sweden,55224.0,7,0,1,0,0
176,1,3,1,1,11,6,Canada,68068.0,10,0,1,0,0
177,1,2,1,1,12,5,India,217800.0,17,0,1,0,0
178,0,4,1,1,30,14,Netherlands,118908.0,9,0,1,0,0
179,1,0,1,1,18,1,United States of America,40000.0,6,0,1,0,0
180,1,2,1,1,15,8,Canada,71850.0,12,1,1,0,0
181,0,2,1,1,21,14,Canada,66934.0,4,0,1,0,0
182,1,3,1,1,8,3,Finland,54216.0,8,0,1,0,0
183,1,2,0,1,12,10,Spain,64860.0,15,1,1,0,0
184,1,2,1,1,6,1,Peru,19860.0,10,0,1,0,0
185,1,1,1,1,6,1,Switzerland,54888.0,10,0,1,0,0
186,1,0,1,1,8,7,Germany,58373.0,17,0,0,1,0
187,0,3,1,1,27,20,Russian Federation,56616.0,16,0,1,0,0
188,1,4,1,0,13,9,Greece,45401.0,17,1,1,0,0
189,1,3,0,1,2,1,France,48104.0,2,0,1,0,0
190,0,2,0,1,24,20,Netherlands,84312.0,8,0,1,0,0
191,0,3,1,1,25,24,United Kingdom of Great Britain and Northern Ireland,55582.0,7,0,1,0,0
192,0,2,1,1,42,27,United Kingdom of Great Britain and Northern Ireland,71093.0,2,0,1,0,0
193,1,1,0,1,7,3,Russian Federation,72000.0,30,1,1,0,0
194,0,1,1,1,30,21,United Kingdom of Great Britain and Northern Ireland,60752.0,14,1,1,0,0
195,1,1,1,1,9,4,Greece,25944.0,16,1,1,0,0
196,0,2,1,1,26,16,Japan,179858.0,16,0,1,0,0
197,0,1,1,1,26,20,Poland,30372.0,6,1,1,0,0
