,>35,EdLevel,MainBranch,YearsCode,YearsCodePro,PreviousSalary,ComputerSkills,Employed
10991,1,1,1,6,0,12000.0,5,0
66821,0,4,0,35,12,112619.0,5,0
34692,1,2,0,5,0,80000.0,11,0
29992,1,3,1,13,4,33228.0,17,1
38664,0,3,1,35,40,129718.0,7,0
3330,1,1,1,5,3,51704.0,18,1
14944,1,1,1,11,4,34034.0,14,0
19885,0,3,1,20,20,60000.0,12,1
4519,1,2,1,5,2,15384.0,11,1
19487,1,0,1,8,8,32664.0,23,1
2178,1,2,1,12,11,121979.0,16,1
43814,1,2,1,6,7,6449.0,7,0
3349,1,2,1,7,3,52000.0,14,0
18248,1,1,1,10,9,75000.0,17,1
26614,1,2,1,4,3,10471.0,15,1
56131,1,2,1,20,11,89581.0,23,1
32879,1,2,1,8,2,56874.0,19,1
9745,1,1,1,3,2,140000.0,14,1
9957,1,2,1,5,0,15096.0,14,0
10642,0,4,0,19,7,75631.0,2,0
62483,1,2,1,6,4,22440.0,1,0
12910,1,3,1,15,8,64164.0,16,1
30676,1,2,1,10,7,100000.0,16,0
1795,1,2,1,13,6,12600.0,16,1
9699,1,0,1,10,3,43239.0,14,1
5774,1,2,1,12,7,59454.0,16,0
42171,1,0,1,9,6,20808.0,11,1
64967,1,3,1,6,1,39991.0,14,1
61910,0,1,0,10,6,11136.0,7,0
18270,0,2,1,42,35,59000.0,6,0
43542,0,0,0,16,10,36372.0,29,1
36310,1,2,1,20,6,36192.0,19,1
18202,1,1,1,10,2,70000.0,16,0
42267,0,3,1,14,8,195000.0,13,1
42395,0,2,1,20,11,125000.0,19,1
41335,1,2,1,11,7,116000.0,14,1
15835,1,3,1,5,3,10944.0,10,0
27511,0,4,1,17,7,71345.0,16,1
31830,1,2,1,6,4,120000.0,16,0
14550,1,2,0,10,4,15120.0,9,0
61336,1,3,0,19,15,59832.0,18,1
32357,0,3,1,30,15,140527.0,7,0
18043,0,4,1,25,10,70264.0,9,0
45094,1,3,1,7,2,106194.0,11,1
15294,0,4,1,45,30,126938.0,13,1
63156,1,0,1,8,4,33912.0,15,1
12631,0,1,1,40,36,118908.0,25,1
21786,0,2,1,20,12,28536.0,8,1
17078,0,3,1,10,8,75669.0,14,1
7053,1,2,1,9,4,8784.0,8,1
43829,1,2,1,6,2,39672.0,15,1
19628,1,2,1,10,8,91128.0,10,0
9393,1,2,1,6,4,33508.0,15,0
56705,1,3,1,2,2,38388.0,14,0
30680,1,3,1,13,5,205000.0,12,1
4726,1,2,1,8,4,68000.0,14,1
43027,0,3,1,21,11,51192.0,4,0
52595,1,2,0,6,0,34822.0,22,1
32676,1,2,1,10,6,33508.0,3,0
46591,0,2,1,40,26,150000.0,17,1
46190,1,2,1,17,15,48624.0,19,1
62998,0,3,1,17,12,204756.0,18,1
30169,0,2,1,33,15,85000.0,11,0
30123,0,2,1,38,22,54289.0,21,1
67127,0,2,1,25,9,84000.0,22,1
68895,0,1,1,35,35,87252.0,9,1
33149,0,1,1,20,15,33900.0,19,0
4364,0,3,1,27,22,86731.0,14,0
44039,1,3,1,14,4,74651.0,7,1
25986,0,3,1,30,22,75936.0,17,1
20793,1,2,1,17,15,32906.0,29,1
53478,1,3,1,14,10,16778.0,8,0
49652,1,2,1,8,5,52464.0,8,0
39751,1,2,1,11,8,49461.0,19,1
68505,1,2,1,9,5,53322.0,12,1
23762,1,2,1,9,5,57252.0,6,0
35362,1,2,1,5,1,4668.0,7,0
27477,1,2,1,6,0,24696.0,8,0
21000,1,1,1,7,4,35028.0,18,0
571,1,3,1,15,12,21204.0,16,1
41466,0,2,0,20,15,44796.0,10,0
50803,1,3,1,7,3,47990.0,21,1
65911,1,2,0,10,7,109695.0,16,0
60440,1,2,1,12,9,92448.0,9,0
63702,0,4,1,15,7,120237.0,11,0
52960,1,3,1,6,2,56076.0,19,1
10701,1,2,1,14,11,160000.0,20,1
21689,0,3,1,30,20,92964.0,17,1
3694,1,3,1,20,4,183750.0,3,0
68917,1,1,1,2,3,19980.0,19,1
17054,1,0,1,20,17,55000.0,15,1
45079,0,2,1,16,8,13044.0,10,0
40788,1,2,1,25,8,44040.0,13,1
28921,1,4,1,18,10,71093.0,10,0
40617,1,3,1,7,3,45401.0,18,0
62184,0,2,1,25,23,175000.0,28,1
22371,0,2,1,30,29,132355.0,9,0
65078,1,0,1,4,3,35832.0,8,1
21135,1,2,1,9,5,18848.0,14,1
53705,1,3,1,14,8,106644.0,9,0
45084,1,2,1,5,1,9600.0,12,0
51805,0,2,1,35,23,144485.0,27,1
18940,1,1,1,5,3,7020.0,16,1
36861,0,1,1,9,7,120000.0,19,1
65883,1,2,1,5,0,13200.0,9,0
34753,0,1,1,45,40,205000.0,10,0
68427,0,3,1,24,22,67548.0,14,1
64051,1,3,0,8,8,58654.0,11,1
34391,1,2,1,11,4,5628.0,11,0
19554,1,2,1,10,7,84000.0,26,0
52484,1,2,1,10,4,81988.0,17,1
66389,1,2,1,10,4,64486.0,5,0
64243,0,2,1,23,12,50000.0,19,1
64689,1,2,1,9,5,90000.0,7,0
11671,0,2,1,12,7,62045.0,17,1
46692,0,2,1,22,14,115200.0,14,1
7139,1,3,1,13,11,59454.0,25,1
66956,1,2,1,23,10,76640.0,9,0
4015,1,3,1,8,2,780.0,19,1
47694,0,3,1,22,19,69318.0,17,1
48125,0,2,1,17,15,63700.0,10,0
67305,0,3,1,36,18,83182.0,13,1
62116,1,1,1,12,11,63984.0,26,1
34446,0,1,1,31,22,58373.0,21,1
34037,0,3,1,42,28,140088.0,15,0
39445,0,1,1,23,17,54049.0,19,1
42304,1,2,1,10,5,100000.0,17,1
54464,1,2,1,9,4,120000.0,16,0
43975,1,1,1,15,10,47796.0,5,1
60916,0,1,1,12,8,50755.0,7,0
17389,1,2,1,8,4,9600.0,27,1
33441,1,2,1,6,5,4236.0,0,0
56785,1,2,1,4,2,2316.0,27,1
52966,1,3,1,10,4,58563.0,8,0
35103,1,1,1,20,10,113000.0,16,1
162,0,2,1,25,15,120000.0,21,1
4140,0,2,1,27,23,96000.0,9,0
23748,1,2,1,18,9,55776.0,6,0
45890,1,2,1,10,7,150000.0,8,0
