,Age,EdLevel,Employment,MainBranch,YearsCode,YearsCodePro,Country,PreviousSalary,ComputerSkills,Employed,Gender_Man,Gender_NonBinary,Gender_Woman,PCA1,PCA2,MDS1,MDS2
0,0,2,1,1,20,15,Bolivia,48000.0,21,0,1,0,0,8.714354755550152,7.34157597867703,-9.627484776667645,-6.260633845194172
1,0,2,1,1,34,25,Canada,86976.0,14,1,1,0,0,25.735616527907588,-0.027302765876469893,-25.579783647611453,3.1658990579328807
2,1,3,1,1,7,1,France,40525.0,11,0,1,0,0,-10.40681263183631,-2.2645788229835695,10.743679389267585,0.6003923328966335
3,1,1,1,1,14,10,Austria,74651.0,3,0,1,0,0,0.5241278435663459,-10.488108866566435,1.0737276793237396,10.284606201447712
4,1,2,1,1,9,5,United States of America,71226.0,7,0,1,0,0,-6.42104122559027,-6.342352092325805,7.381924114936533,5.157438602681548
5,0,1,1,0,20,15,Russian Federation,83124.0,20,1,1,0,0,8.694229880419266,6.341875373236478,-9.47339835456688,-5.277629230994037
6,1,0,1,0,2,0,United States of America,20000.0,6,0,0,0,1,-15.028669426298592,-7.156904002027111,16.10392287497177,4.63424343222399
7,1,1,1,1,6,0,Brazil,7980.0,12,1,1,0,0,-11.792663552987593,-1.235531647997368,12.05797023701328,-0.6784091271946415
8,1,2,0,1,3,2,India,10056.0,17,0,1,0,0,-12.759535747020031,3.8010866168009128,12.316917950101285,-5.7500451128489205
9,1,1,1,1,11,6,Australia,32250.0,17,1,0,0,1,-4.026011725471159,3.606572568005106,3.520706063874295,-4.270561133983016
10,1,2,1,1,6,0,United States of America,116000.0,31,1,1,0,0,-11.384000400710727,17.760162968592937,8.872392108221408,-19.348221397664656
11,1,3,1,1,10,7,United States of America,125000.0,16,1,1,0,0,-4.192378708026742,2.6162256674280693,3.834021684995335,-3.359518452599302
12,1,1,1,1,6,2,Netherlands,23352.0,13,1,1,0,0,-10.512959298880048,-0.255832025298129,10.522692524466816,-1.3934375659372127
13,0,3,1,1,15,10,Sri Lanka,28332.0,17,1,1,0,0,1.5981083954123365,3.4891977025543826,-2.0229028445991752,-3.3637720364670525
14,1,3,1,1,8,5,Poland,52728.0,8,0,0,0,1,-7.17748224740431,-5.323325389018105,8.017719793892775,4.041053538874932
15,0,4,1,1,30,20,Canada,68068.0,17,1,1,0,0,19.545736293338646,3.099366689857798,-19.843474702337218,-0.7337990512872163
16,1,1,1,1,12,12,Brazil,24744.0,12,0,1,0,0,0.41788597483871887,-1.4718267312623874,-0.43709468356969944,1.3640204640740703
17,1,2,1,1,13,8,United States of America,210000.0,9,0,1,0,0,-1.3783848492632584,-4.449900376534971,2.0488285261113237,4.005327275449599
18,1,2,1,1,10,5,Australia,106157.0,30,1,1,0,0,-5.152463385088131,16.63296874595522,7.187278143288348,15.079129068193572
